Stream,Interest,Math_Score,Communication_Score,Technical_Skill_Score,Creativity_Score,Aptitude_Score,Skill_Level,Recommended_Career
PCMB,Biotech,65,76,86,87,67,Intermediate,Bioinformatics Scientist
PCMB,AI,51,60,56,87,75,Intermediate,Bioinformatics Scientist
PCMB,Biotech,96,81,74,90,56,Beginner,Biomedical Engineer
Commerce,Marketing,93,95,96,83,50,Beginner,Chartered Accountant
Arts,Writing,84,73,70,61,94,Advanced,Psychologist
Commerce,Business,55,74,73,90,43,Beginner,Chartered Accountant
Arts,Human Behavior,95,89,67,92,70,Intermediate,Graphic Designer
Arts,Writing,59,85,46,52,72,Intermediate,Graphic Designer
PCB,Healthcare,67,47,91,60,66,Intermediate,Nurse
PCM,Data,76,51,44,63,89,Advanced,Mechanical Engineer
Arts,Writing,67,97,90,55,72,Intermediate,Psychologist
PCB,Healthcare,70,92,85,48,63,Intermediate,Nurse
PCM,Engineering,71,99,78,93,86,Advanced,Civil Engineer
Commerce,Finance,83,78,69,57,82,Advanced,Investment Banker
PCM,Technology,76,52,56,75,74,Intermediate,Civil Engineer
PCB,Research,59,63,73,94,78,Intermediate,Nutritionist
PCMB,Biotech,40,72,99,88,93,Advanced,Genetic Engineer
PCMB,Biotech,48,41,94,94,62,Intermediate,Bioinformatics Scientist
PCB,Research,51,98,98,68,59,Beginner,Nurse
PCM,AI,58,94,92,68,40,Beginner,Civil Engineer
Arts,Writing,44,89,54,60,53,Beginner,Psychologist
PCB,Medical,97,52,87,47,40,Beginner,Pharmacist
PCMB,AI,73,54,79,43,74,Intermediate,Bioinformatics Scientist
Commerce,Marketing,80,50,97,53,97,Advanced,Business Analyst
PCB,Research,97,57,61,45,88,Advanced,Microbiologist
PCB,Research,62,63,52,61,84,Advanced,Biotechnologist
Commerce,Business,49,68,72,48,63,Intermediate,Chartered Accountant
PCM,AI,86,52,72,54,96,Advanced,Data Scientist
Commerce,Business,66,58,41,48,60,Beginner,Financial Analyst
Arts,Design,59,66,41,61,76,Intermediate,Psychologist
Arts,Human Behavior,50,42,70,77,98,Advanced,Psychologist
PCM,Data,53,57,74,91,61,Intermediate,AI Engineer
Commerce,Marketing,62,86,48,81,95,Advanced,Investment Banker
PCM,Data,89,50,91,96,41,Beginner,AI Engineer
PCM,AI,51,93,60,57,71,Intermediate,Mechanical Engineer
Arts,Human Behavior,47,74,71,60,53,Beginner,Journalist
PCM,Technology,58,57,72,56,87,Advanced,Data Scientist
PCMB,Research,66,96,57,54,53,Beginner,Genetic Engineer
PCM,Engineering,57,94,66,94,43,Beginner,AI Engineer
PCB,Medical,50,82,65,88,78,Intermediate,Microbiologist
Commerce,Marketing,47,72,83,44,56,Beginner,Investment Banker
PCMB,Biotech,55,61,44,42,81,Advanced,Biomedical Engineer
Arts,Design,91,42,67,76,89,Advanced,Lawyer
PCB,Healthcare,42,69,71,61,61,Intermediate,Nurse
PCMB,AI,45,94,97,66,73,Intermediate,Biomedical Engineer
Commerce,Finance,59,50,42,40,77,Intermediate,Investment Banker
Commerce,Marketing,68,88,65,72,79,Intermediate,Investment Banker
Arts,Writing,66,42,53,66,68,Intermediate,Lawyer
Commerce,Finance,94,76,60,46,84,Advanced,Financial Analyst
PCMB,Research,55,44,50,81,40,Beginner,Biomedical Engineer
Commerce,Finance,53,77,46,81,53,Beginner,Investment Banker
Commerce,Finance,62,82,96,70,50,Beginner,Chartered Accountant
PCM,Data,87,69,47,64,81,Advanced,Civil Engineer
PCB,Healthcare,71,84,46,78,81,Advanced,Doctor
Arts,Human Behavior,48,90,71,73,72,Intermediate,Graphic Designer
Arts,Human Behavior,55,96,56,53,83,Advanced,Psychologist
PCMB,AI,100,83,46,97,63,Intermediate,Genetic Engineer
PCB,Research,84,85,90,59,73,Intermediate,Nutritionist
Arts,Human Behavior,82,89,47,45,61,Intermediate,Journalist
Arts,Design,68,41,50,41,73,Intermediate,Lawyer
PCM,Engineering,94,93,76,79,81,Advanced,Data Scientist
Arts,Writing,78,91,70,85,57,Beginner,Psychologist
PCM,Data,84,83,95,89,92,Advanced,AI Engineer
PCB,Healthcare,60,100,54,95,91,Advanced,Microbiologist
Arts,Writing,86,70,78,83,50,Beginner,Lawyer
Arts,Writing,61,55,56,96,63,Intermediate,Psychologist
Commerce,Finance,90,69,81,56,62,Intermediate,Financial Analyst
Arts,Human Behavior,48,79,84,54,97,Advanced,Psychologist
PCM,Technology,70,47,62,87,81,Advanced,Civil Engineer
PCM,Engineering,75,74,62,63,68,Intermediate,Data Scientist
Commerce,Finance,90,95,43,91,77,Intermediate,Financial Analyst
PCB,Healthcare,42,47,79,58,92,Advanced,Biotechnologist
PCM,AI,82,72,56,56,77,Intermediate,AI Engineer
Arts,Human Behavior,87,67,62,47,69,Intermediate,Journalist
PCMB,Biotech,73,71,88,85,99,Advanced,Genetic Engineer
PCB,Healthcare,40,71,46,41,42,Beginner,Nutritionist
Commerce,Marketing,73,51,50,60,49,Beginner,Investment Banker
PCM,Technology,74,93,78,55,93,Advanced,Data Scientist
Commerce,Marketing,91,47,83,51,51,Beginner,Investment Banker
Arts,Human Behavior,58,53,68,99,71,Intermediate,Lawyer
PCM,Technology,65,74,91,84,92,Advanced,Data Scientist
PCB,Research,81,89,68,41,43,Beginner,Doctor
PCM,AI,93,86,54,96,64,Intermediate,Civil Engineer
PCMB,Biotech,40,85,61,99,55,Beginner,Biomedical Engineer
Commerce,Marketing,74,64,78,90,46,Beginner,Chartered Accountant
Arts,Writing,80,73,57,65,52,Beginner,Journalist
PCM,AI,47,92,74,96,79,Intermediate,Data Scientist
PCMB,Biotech,99,91,69,49,93,Advanced,Genetic Engineer
Arts,Design,57,94,41,99,89,Advanced,Journalist
Commerce,Business,46,99,56,54,49,Beginner,Investment Banker
PCB,Medical,56,42,82,64,83,Advanced,Doctor
Commerce,Finance,79,80,61,82,44,Beginner,Chartered Accountant
PCMB,Research,58,78,79,52,83,Advanced,Bioinformatics Scientist
Arts,Design,97,41,94,83,42,Beginner,Graphic Designer
PCMB,Biotech,87,100,86,43,66,Intermediate,Bioinformatics Scientist
Arts,Human Behavior,97,95,46,69,78,Intermediate,Graphic Designer
Arts,Design,59,47,87,49,64,Intermediate,Psychologist
Arts,Design,58,71,41,46,70,Intermediate,Graphic Designer
Commerce,Finance,43,68,72,94,98,Advanced,Investment Banker
PCM,Engineering,93,55,99,62,63,Intermediate,Mechanical Engineer
Commerce,Marketing,75,78,91,82,95,Advanced,Financial Analyst
Arts,Design,82,53,41,89,47,Beginner,Journalist
PCM,Technology,66,96,64,84,59,Beginner,Mechanical Engineer
PCMB,AI,85,57,68,93,99,Advanced,Biomedical Engineer
PCB,Medical,40,79,47,72,91,Advanced,Biotechnologist
PCM,Technology,61,96,86,56,60,Beginner,AI Engineer
Commerce,Business,91,43,74,84,64,Intermediate,Business Analyst
PCMB,Research,79,78,64,71,71,Intermediate,Genetic Engineer
Commerce,Business,72,85,78,87,43,Beginner,Business Analyst
PCM,AI,56,53,65,72,65,Intermediate,Civil Engineer
PCB,Healthcare,95,49,65,58,74,Intermediate,Biotechnologist
Arts,Writing,63,63,56,77,50,Beginner,Psychologist
PCMB,Research,96,66,65,90,71,Intermediate,Bioinformatics Scientist
PCB,Healthcare,71,56,45,57,99,Advanced,Pharmacist
PCMB,Biotech,55,55,89,71,93,Advanced,Bioinformatics Scientist
Arts,Human Behavior,81,93,74,65,62,Intermediate,Lawyer
PCM,AI,56,95,54,96,95,Advanced,AI Engineer
Arts,Human Behavior,67,87,64,44,88,Advanced,Journalist
PCM,Data,49,82,82,84,50,Beginner,Civil Engineer
PCB,Research,69,88,48,82,40,Beginner,Nurse
PCMB,Research,78,54,52,58,83,Advanced,Biomedical Engineer
PCMB,AI,64,46,67,68,76,Intermediate,Biomedical Engineer
PCM,AI,85,41,80,81,88,Advanced,Data Scientist
PCM,Data,44,47,87,65,64,Intermediate,Data Scientist
PCM,Data,77,98,62,77,49,Beginner,Civil Engineer
PCM,Technology,73,58,66,95,57,Beginner,Mechanical Engineer
PCM,Engineering,49,77,60,81,49,Beginner,Software Developer
PCB,Research,84,45,71,78,96,Advanced,Pharmacist
Arts,Human Behavior,54,52,42,97,99,Advanced,Journalist
Commerce,Business,64,66,69,60,60,Beginner,Business Analyst
PCM,Technology,85,94,54,63,100,Advanced,Data Scientist
PCB,Research,57,49,53,46,78,Intermediate,Biotechnologist
Commerce,Marketing,66,73,71,72,53,Beginner,Chartered Accountant
PCM,Technology,80,75,88,92,51,Beginner,Civil Engineer
PCMB,AI,65,89,50,49,71,Intermediate,Bioinformatics Scientist
Arts,Human Behavior,95,85,63,69,73,Intermediate,Psychologist
PCM,Data,96,92,58,70,76,Intermediate,Software Developer
Commerce,Finance,61,58,46,100,42,Beginner,Financial Analyst
Arts,Design,55,74,63,45,74,Intermediate,Journalist
PCB,Research,49,43,54,87,59,Beginner,Pharmacist
PCB,Medical,56,99,56,70,86,Advanced,Nurse
PCM,AI,68,63,44,54,81,Advanced,Data Scientist
PCM,Technology,94,80,70,54,41,Beginner,AI Engineer
PCB,Research,96,55,95,50,91,Advanced,Pharmacist
Commerce,Finance,94,49,60,53,54,Beginner,Business Analyst
Arts,Writing,97,53,58,62,91,Advanced,Lawyer
Commerce,Marketing,69,93,71,81,63,Intermediate,Business Analyst
Arts,Design,46,93,88,68,70,Intermediate,Graphic Designer
PCMB,Research,84,69,92,64,79,Intermediate,Genetic Engineer
PCB,Research,42,57,70,88,82,Advanced,Microbiologist
PCMB,Research,53,51,62,49,54,Beginner,Bioinformatics Scientist
PCM,Data,44,60,66,100,61,Intermediate,Mechanical Engineer
Commerce,Business,69,44,84,70,56,Beginner,Investment Banker
Arts,Writing,58,51,54,40,97,Advanced,Journalist
PCB,Medical,94,94,45,79,69,Intermediate,Doctor
Commerce,Finance,96,98,63,94,85,Advanced,Chartered Accountant
PCB,Medical,54,81,80,63,54,Beginner,Nutritionist
PCB,Research,54,54,97,66,54,Beginner,Biotechnologist
Commerce,Marketing,57,42,86,72,73,Intermediate,Financial Analyst
PCM,Technology,77,45,95,91,51,Beginner,Software Developer
Commerce,Marketing,58,78,58,84,60,Beginner,Investment Banker
Arts,Writing,74,83,46,65,51,Beginner,Graphic Designer
PCMB,Research,88,50,70,72,77,Intermediate,Biomedical Engineer
Commerce,Finance,62,41,42,41,94,Advanced,Business Analyst
